Month,Start Date,Event,Place,Req.
1,18,Blue flower,Leave house,"Lyla fp 20, met Parsley, 4 crops"
2,2,Plant the seed,Leave house,"Lyla fp 30, 8 crops"
2,9,Blue butterfly,Sunny caf?,"Met Woody/Walace, 12 crops"
2,11,Be optimistic,Harvest Godness Spring,Water the flower everyday
3,7,Flower and love,Harvest Godness Spring,Lyla fp 50
4,24,Winter hatred,Lyla's shop,"Lyla fp 60, met Louis"
5,9,Crush on Louis,Lyla's shop,Met Louis
6,2,This year for sure,Leave house,Met Louis
6,11,Flower bloomed,Harvest Godness Spring,Flower bloomed
6,12,Photo of butterfly,Harvest Godness Spring,"Lyla fp 90, 30 crops"
7,6,Lyla's thanks,Leave house,Lyla fp 100
8,1,More flowers,Lyla's shop,Lyla fp 120
9,1,Blue Mist,Harvest Godness Spring,Complete Lyla's route
